source,url,question,answer,wrong_answer
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,What are the symptoms?,"Symptoms include fever, coughing, sore throat, fatigue, and shortness of breath.
However, be aware that at this stage if you have a cough or a cold, it's likely that you just have a cough or a cold and not coronavirus.
If you have serious symptoms such as difficulty breathing, call 000 for urgent medical help.
If you get these symptoms above after being in contact with someone who has been diagnosed with COVID-19, seek medical attention.
The same goes if you develop symptoms within 14 days of returning home to Australia after being overseas.","As cases of coronavirus surge, health authorities are advising Australians to practise physical distancing (also called social distancing) as much as possible to limit transmission. Physical distancing is what everyone can do - like staying home - regardless of whether or not they've been exposed to coronavirus.
Self-isolating or self-quarantining is a more strict and onerous kind of physical distancing - it means cutting yourself off from the outside world.All passengers who arrive in Australia are going into mandatory quarantine in hotels for a fortnight.
Western Australia, South Australia, Queensland, Northern Territory and Tasmania have also essentially closed their borders - any arrivals are required to self-isolate for 14 days."
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,When should I get tested?,Your doctor will tell you if you need to get tested.,"If you have been in contact with a person with a COVID-19 infection while they were ill, you need to isolate yourself for 14 days after you last saw that person.
In general, stay home as much as you can.
If you have to go out, from midnight Monday, March 30, you cannot see more than one other person. This applies to both private and public gatherings and indoor and outdoor spaces.
For example, if you go to the park, you can only go with one person.
The restrictions do not apply within your household - if you live in a sharehouse of four, you can still see your housemates.
You're also allowed to visit family members in other houses, including your partner.
Announcing this restriction, the Prime Minister said acceptable reasons to leave the house include:Shopping for what you needFor medical care or compassionate needs (e.g. caring for someone else)To exercise (provided no more than two people in a group)For work and education (if you cannot work or learn remotely)
The general aim of physical distancing rules is to avoid situations where you may come in close contact with others (face-to-face contact closer than one metre for more than 15 minutes or being in the same closed space for two hours).
Avoid shaking hands, crowds of people, and busy indoor and outdoor spaces."
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,What's the difference between physical distancing and self-isolation?,"As cases of coronavirus surge, health authorities are advising Australians to practise physical distancing (also called social distancing) as much as possible to limit transmission. Physical distancing is what everyone can do - like staying home - regardless of whether or not they've been exposed to coronavirus.
Self-isolating or self-quarantining is a more strict and onerous kind of physical distancing - it means cutting yourself off from the outside world.All passengers who arrive in Australia are going into mandatory quarantine in hotels for a fortnight.
Western Australia, South Australia, Queensland, Northern Territory and Tasmania have also essentially closed their borders - any arrivals are required to self-isolate for 14 days.","Remember, the vast majority of Australians aren't being told to self-isolate. It only applies to those who have recently come back from overseas, (before midnight on March 28 - after then its forced quarantine), or if you've been in contact with someone who tested positive for COVID-19.
But if you are one of those people who has to self-isolate, it means that you need to stay away from all situations where you could infect other people. This means any situation where you may come in close contact with others (face-to-face contact closer than one metre for more than 15 minutes or being in the same closed space for two hours).
You should avoid social gatherings, work, school, child care, university, sports gatherings, restaurants, and all other public gatherings.
You should try not to leave the house. If your outside areas are a shared space in a building or apartment block, it's best to wear a surgical mask while out there.
Stay in your room and clean lots.

"
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,How do I practice physical distancing?,"If you have been in contact with a person with a COVID-19 infection while they were ill, you need to isolate yourself for 14 days after you last saw that person.
In general, stay home as much as you can.
If you have to go out, from midnight Monday, March 30, you cannot see more than one other person. This applies to both private and public gatherings and indoor and outdoor spaces.
For example, if you go to the park, you can only go with one person.
The restrictions do not apply within your household - if you live in a sharehouse of four, you can still see your housemates.
You're also allowed to visit family members in other houses, including your partner.
Announcing this restriction, the Prime Minister said acceptable reasons to leave the house include:Shopping for what you needFor medical care or compassionate needs (e.g. caring for someone else)To exercise (provided no more than two people in a group)For work and education (if you cannot work or learn remotely)
The general aim of physical distancing rules is to avoid situations where you may come in close contact with others (face-to-face contact closer than one metre for more than 15 minutes or being in the same closed space for two hours).
Avoid shaking hands, crowds of people, and busy indoor and outdoor spaces.","Other countries have closed schools and universities as a social distancing measure, however Australia has not yet taken this step.
The situation with schools varies state by state. Queensland, South Australia, Western Australia, Tasmania and Northern Territory will keep schools open for the children of essential workers but will began to implement pupil-free days in the coming weeks. Victoria and ACT schools are already on break. NSW schools remain open but students are encouraged to stay at home.
Several schools around the country have closed temporarily after a staff member or student tested positive for the virus.
Some universities have chosen to close their campuses."
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,What's closed?,"Physical distancing is the reason the Federal Government has closed pubs, indoor sporting venues and churches across Australia.
The situation with schools varies state by state. Queensland, South Australia, Western Australia, Tasmania and Northern Territory will keep schools open for the children of essential workers but will began to implement pupil-free days in the coming weeks. Victoria and ACT schools are already on break. NSW schools remain open but students are encouraged to stay at home.
The Prime Minister has said all ""non-essential"" travel within Australia should be cancelled. Western Australia and South Australia have closed their borders - any arrivals after Tuesday afternoon, March 24, will be required to self-isolate for 14 days.
The goal of these social distancing measures is to avoid a worst-case scenario that would see four million Australians contract COVID-19 in a single wave.
Slowing the spread may prevent health services from being overwhelmed by coronavirus cases.
From midnight on Wednesday, March 25, these activities and businesses will no longer be allowed to continue:
Amusement parks and arcadesIndoor and outdoor play centresCommunity and recreation centres, health clubs, fitness centres, yoga, barre, spin facilities, saunas, wellness centresPublic swimming poolsGalleries, museums, national institutions, historic sites, libraries, community centresAuction housesReal estate auctions and open house inspectionsIn-store beauty therapy, tanning, waxing, nail salons and tattoo parlours, spa and massage parlours (excluding allied-health-related services, like physiotherapy)Food courts within shopping centres will only be able to sell takeaway. Shopping centres themselves will remain openHairdressers and barber shops can continue, but a customer must not be on the premises longer than one hourPersonal training and boot camps are limited to a maximum of 10 peopleWeddings can continue, but only with the couple, the celebrant, and witnesses totalling a maximum of five peopleFunerals are limited to a maximum of 10 peopleOutdoor and indoor food markets will be addressed by individual states and territories","Symptoms include fever, coughing, sore throat, fatigue, and shortness of breath.
However, be aware that at this stage if you have a cough or a cold, it's likely that you just have a cough or a cold and not coronavirus.
If you have serious symptoms such as difficulty breathing, call 000 for urgent medical help.
If you get these symptoms above after being in contact with someone who has been diagnosed with COVID-19, seek medical attention.
The same goes if you develop symptoms within 14 days of returning home to Australia after being overseas."
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,What are the rules of self-isolation?,"Remember, the vast majority of Australians aren't being told to self-isolate. It only applies to those who have recently come back from overseas, (before midnight on March 28 - after then its forced quarantine), or if you've been in contact with someone who tested positive for COVID-19.
But if you are one of those people who has to self-isolate, it means that you need to stay away from all situations where you could infect other people. This means any situation where you may come in close contact with others (face-to-face contact closer than one metre for more than 15 minutes or being in the same closed space for two hours).
You should avoid social gatherings, work, school, child care, university, sports gatherings, restaurants, and all other public gatherings.
You should try not to leave the house. If your outside areas are a shared space in a building or apartment block, it's best to wear a surgical mask while out there.
Stay in your room and clean lots.

",Your doctor will tell you if you need to get tested.
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,How do I self-isolate in a sharehouse?,"If you're living with people who are not in isolation, wear a mask when you're in the same room as them. It's best to sleep in a different room to your partner, avoid spending time in communal areas and use a separate bathroom, if possible.
Wash your hands with soap and water for 20 seconds before entering areas used by others and after using the bathroom.","As cases of coronavirus surge, health authorities are advising Australians to practise physical distancing (also called social distancing) as much as possible to limit transmission. Physical distancing is what everyone can do - like staying home - regardless of whether or not they've been exposed to coronavirus.
Self-isolating or self-quarantining is a more strict and onerous kind of physical distancing - it means cutting yourself off from the outside world.All passengers who arrive in Australia are going into mandatory quarantine in hotels for a fortnight.
Western Australia, South Australia, Queensland, Northern Territory and Tasmania have also essentially closed their borders - any arrivals are required to self-isolate for 14 days."
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,Should I avoid domestic travel?,"The Prime Minister has also said all ""non-essential"" travel within Australia should be cancelled. Western Australia, South Australia, Queensland, Northern Territory and Tasmania have essentially closed their borders - any arrivals are required to self-isolate for 14 days.","Welfare bodies want a ban on housing evictions for the next few months to support people who have lost their income because of the coronavirus outbreak.
So far, however, that's not happening.
The WA Government has frozen all 'household fees and charges' - this doesn't include rent. It will mean electricity, water, motor vehicle charges, the emergency services levy and public transport fares in the state will not increase until at least July 2021.
"
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,Should I avoid big gatherings like parties or weddings?,"Yes. Avoid big gatherings.
Weddings can continue, but only with the couple, the celebrant, and witnesses totalling a maximum of five people. Funerals are limited to a maximum of 10 people
In addition to this, pubs, clubs, restaurants and churches have also been forced to close.","Other countries have closed schools and universities as a social distancing measure, however Australia has not yet taken this step.
The situation with schools varies state by state. Queensland, South Australia, Western Australia, Tasmania and Northern Territory will keep schools open for the children of essential workers but will began to implement pupil-free days in the coming weeks. Victoria and ACT schools are already on break. NSW schools remain open but students are encouraged to stay at home.
Several schools around the country have closed temporarily after a staff member or student tested positive for the virus.
Some universities have chosen to close their campuses."
ABC Australia,https://www.abc.net.au/triplej/programs/hack/coronavirus-covid-19-frequently-asked-questions/12063976,Will I get paid if I can't work?,"This may depend on whether you're permanent or casual.
Usually, if you are asked by your employer not to work (assuming you're a full-time or part-time employee), you would be entitled to be paid.
However, that typically applies to natural disasters, and not a pandemic like COVID-19.
Experts say that, unless there's a special clause in your Enterprise Agreement, employers may be able to stand employees down without pay.
This will vary with each employer, so it's best to check with them.
For casual workers and independent contractors, including gig economy workers, the situation is potentially more grim.
According to Fair Work, if you're a casual employee needing to look after a family member who is sick with coronavirus, or suffering an unexpected emergency, you are entitled to just two days of unpaid carer's leave per occasion.
After that, you'll need to contact your employer to work out an arrangement.
Casual employees and independent contractors may qualify for the sickness allowance, a means-tested payment that provides up to $560 for singles without children and $1,010 for couples out of work due to illness.
The Government has waived the one-week waiting period to access the allowance.
The Federal Government has increased existing payments for welfare allowances, and expanding eligibility criteria for new applicants, for six months to late September.
You can apply for this without going into Centrelink. More information here.","Yes. Avoid big gatherings.
Weddings can continue, but only with the couple, the celebrant, and witnesses totalling a maximum of five people. Funerals are limited to a maximum of 10 people
In addition to this, pubs, clubs, restaurants and churches have also been forced to close."
